well_code,UTM_x,UTM_y,wl_m,DTW_m,Source
412455N1224899W001,515336.611352,4584210.841500,824.7888,5.4864,Oct/Nov 2021
412990N1225279W001,510032.311725,4594093.312679,838.10856,2.14884,Oct/Nov 2021
413348N1225123W001,512191.197552,4600713.399831,826.06896,3.97764,Oct/Nov 2021
414555N1228745W001,510481.585892,4589331.232659,888.860808,5.21208,Oct/Nov 2021
415635N1228315W001,514049.563270,4601327.394126,831.000624,3.64236,Oct/Nov 2021
415644N1228541W001,512164.980191,4601423.884908,826.008,6.49224,Oct/Nov 2021
416335N1228997W001,508351.427485,4609094.431203,819.48528,12.31392,Oct/Nov 2021
D31,510090.000609,4594058.994718,841.723488,2.075688,Oct/Nov 2021
D40,511790.000846,4584586.994295,864.022656,3.227832,Oct/Nov 2021
G31,514803.995906,4592244.994531,838.47432,23.48484,Oct/Nov 2021
K12,512297.998456,4605741.993930,823.109352,7.171944,Oct/Nov 2021
L18,514202.995362,4594338.994550,834.60336,21.567648,Oct/Nov 2021
M2,516517.000604,4601671.993969,832.792848,23.63724,Oct/Nov 2021
P43,515345.000244,4584144.994491,881.350536,5.419344,Oct/Nov 2021
Q32,513627.002912,4598863.993837,832.198488,1.271016,Oct/Nov 2021
R24,512935.998869,4591145.994013,840.08976,4.059936,Oct/Nov 2021
S42,513323.999817,4603174.993739,825.61176,3.968496,Oct/Nov 2021
SCT_170,512434.065752,4600882.787361,828.20256,3.59664,Oct/Nov 2021
SCT_173,513323.380755,4603225.686850,825.965328,4.005072,Oct/Nov 2021
SCT_183,512433.653145,4596289.231509,834.082152,4.117848,Oct/Nov 2021
SCT_186,508113.539157,4596538.651877,848.026752,9.985248,Oct/Nov 2021
SCT_192,512108.856869,4588504.241343,846.646008,3.136392,Oct/Nov 2021
SCT_198,514627.866512,4583709.906193,872.041944,6.391656,Oct/Nov 2021
SCT_202,510052.088835,4602107.510614,838.632816,20.598384,Oct/Nov 2021
SCT_788,513978.034046,4600762.938664,828.699384,5.233416,Oct/Nov 2021
SCT_790,512848.099822,4592351.656655,838.59624,4.48056,Oct/Nov 2021
SCT_197,512511.791437,4605334.514550,825.081408,7.01548,Oct/Nov Average (all data pre-2022)
416288N1228303W001,514135.359765,4608577.235172,842.455008,4.761297733,Oct/Nov Average (all data pre-2022)
416033N1228528W001,512266.006680,4605742.759775,823.06668,5.652488291,Oct/Nov Average (all data pre-2022)
N2,511774.997966,4594090.993898,817.56504,4.703620987,Oct/Nov Average (all data pre-2022)
QV17,501597.321311,4604286.756349,866.5674045,19.4691,Oct/Nov Average (all data pre-2022)
QV03,501412.112121,4604225.039405,869.6591883,20.836128,Oct/Nov Average (all data pre-2022)
QV14,501870.221418,4605381.606637,846.817141,17.64792,Oct/Nov Average (all data pre-2022)
