 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.2846313E+02   1.7423936E+05   4.7017619E-01   2.5000000E+01   1.7545003E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   9.6496761E-02   9.6496761E-02
     2.0000000E+00   8.2854578E+02   2.2861200E+05   5.5282009E-01   2.5000000E+01   2.2980461E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   9.5057167E-02   9.5057167E-02
     3.0000000E+00   8.2857550E+02   2.4960416E+05   5.8251071E-01   2.5000000E+01   2.5071845E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   8.8814892E-02   8.8814892E-02
     4.0000000E+00   8.2858746E+02   2.5831094E+05   5.9448779E-01   2.5000000E+01   2.5936248E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   8.3813578E-02   8.3813578E-02
     5.0000000E+00   8.2859198E+02   2.6158245E+05   5.9902400E-01   2.5000000E+01   2.6258372E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.9805091E-02   7.9805091E-02
     6.0000000E+00   8.2859210E+02   2.6180244E+05   5.9912848E-01   2.5000000E+01   2.6276041E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.6355219E-02   7.6355219E-02
     7.0000000E+00   8.2859003E+02   2.6027281E+05   5.9703606E-01   2.5000000E+01   2.6119352E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.3384538E-02   7.3384538E-02
     8.0000000E+00   8.2858618E+02   2.5754308E+05   5.9317166E-01   2.5000000E+01   2.5843014E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.0703536E-02   7.0703536E-02
     9.0000000E+00   8.2858173E+02   2.5415673E+05   5.8876991E-01   2.5000000E+01   2.5501094E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.8084314E-02   6.8084314E-02
     1.0000000E+01   8.2857855E+02   2.5021633E+05   5.8558476E-01   2.5000000E+01   2.5104794E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.6283226E-02   6.6283226E-02
     1.1000000E+01   8.2857001E+02   2.4599466E+05   5.7700217E-01   2.5000000E+01   2.4679755E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.3994467E-02   6.3994467E-02
     1.2000000E+01   8.2856366E+02   2.4133280E+05   5.7066703E-01   2.5000000E+01   2.4211000E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.1946977E-02   6.1946977E-02
     1.3000000E+01   8.2855933E+02   2.3626034E+05   5.6635267E-01   2.5000000E+01   2.3702086E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.0616989E-02   6.0616989E-02
     1.4000000E+01   8.2855011E+02   2.3205225E+05   5.5711889E-01   2.5000000E+01   2.3279062E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.8852095E-02   5.8852095E-02
     1.5000000E+01   8.2854584E+02   2.2664252E+05   5.5287045E-01   2.5000000E+01   2.2736484E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.7572447E-02   5.7572447E-02
     1.6000000E+01   8.2853638E+02   2.2259928E+05   5.4338056E-01   2.5000000E+01   2.2330195E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.6005891E-02   5.6005891E-02
     1.7000000E+01   8.2853003E+02   2.1769158E+05   5.3706485E-01   2.5000000E+01   2.1838125E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.4969713E-02   5.4969713E-02
     1.8000000E+01   8.2852405E+02   2.1294995E+05   5.3108126E-01   2.5000000E+01   2.1362636E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.3913221E-02   5.3913221E-02
     1.9000000E+01   8.2851630E+02   2.0871655E+05   5.2334124E-01   2.5000000E+01   2.0937589E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.2553706E-02   5.2553706E-02
     2.0000000E+01   8.2850909E+02   2.0429330E+05   5.1611060E-01   2.5000000E+01   2.0493855E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.1428806E-02   5.1428806E-02
     2.1000000E+01   8.2850476E+02   1.9942717E+05   5.1180613E-01   2.5000000E+01   2.0006566E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.0890192E-02   5.0890192E-02
     2.2000000E+01   8.2849854E+02   1.9534192E+05   5.0557083E-01   2.5000000E+01   1.9596761E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.9870700E-02   4.9870700E-02
     2.3000000E+01   8.2848981E+02   1.9172295E+05   4.9681929E-01   2.5000000E+01   1.9233122E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.8482567E-02   4.8482567E-02
     2.4000000E+01   8.2848547E+02   1.8707595E+05   4.9250874E-01   2.5000000E+01   1.8767941E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.8097473E-02   4.8097473E-02
     2.5000000E+01   8.2847803E+02   1.8358705E+05   4.8506838E-01   2.5000000E+01   1.8417605E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6946544E-02   4.6946544E-02
     2.6000000E+01   8.2847101E+02   1.7979838E+05   4.7805518E-01   2.5000000E+01   1.8037581E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.6025421E-02   4.6025421E-02
     2.7000000E+01   8.2846497E+02   1.7600923E+05   4.7199762E-01   2.5000000E+01   1.7657758E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.5300122E-02   4.5300122E-02
     2.8000000E+01   8.2846039E+02   1.7214494E+05   4.6741295E-01   2.5000000E+01   1.7270731E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.4823971E-02   4.4823971E-02
     2.9000000E+01   8.2845416E+02   1.6882608E+05   4.6120414E-01   2.5000000E+01   1.6937780E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3975674E-02   4.3975674E-02
     3.0000000E+01   8.2844788E+02   1.6549633E+05   4.5487797E-01   2.5000000E+01   1.6603812E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.3183900E-02   4.3183900E-02
     3.1000000E+01   8.2844238E+02   1.6213697E+05   4.4937846E-01   2.5000000E+01   1.6267109E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   4.2572316E-02   4.2572316E-02
