 "GAGE No.    4:  K,I,J Coord. =     1,  280,  129;  STREAM SEGMENT =    10;  REACH =     1 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.5126050E+02   1.4541109E+05   8.4452607E-02   2.5000000E+01   1.4548797E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.8869039E-02   6.8869039E-02
     2.0000000E+00   8.5126166E+02   1.4884773E+05   8.5643001E-02   2.5000000E+01   1.4892159E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6164523E-02   6.6164523E-02
     3.0000000E+00   8.5125989E+02   1.4377997E+05   8.3881386E-02   2.5000000E+01   1.4385128E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.3882299E-02   6.3882299E-02
     4.0000000E+00   8.5125781E+02   1.3780733E+05   8.1773497E-02   2.5000000E+01   1.3787711E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.2521033E-02   6.2521033E-02
     5.0000000E+00   8.5125568E+02   1.3197381E+05   7.9679385E-02   2.5000000E+01   1.3204267E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1696924E-02   6.1696924E-02
     6.0000000E+00   8.5125372E+02   1.2651034E+05   7.7684380E-02   2.5000000E+01   1.2657866E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1208755E-02   6.1208755E-02
     7.0000000E+00   8.5125183E+02   1.2147209E+05   7.5813979E-02   2.5000000E+01   1.2154012E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0945336E-02   6.0945336E-02
     8.0000000E+00   8.5125012E+02   1.1685589E+05   7.4072897E-02   2.5000000E+01   1.1692380E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0839120E-02   6.0839120E-02
     9.0000000E+00   8.5124847E+02   1.1264726E+05   7.2461389E-02   2.5000000E+01   1.1271517E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0845416E-02   6.0845416E-02
     1.0000000E+01   8.5124701E+02   1.0881200E+05   7.0984863E-02   2.5000000E+01   1.0888002E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0931779E-02   6.0931779E-02
     1.1000000E+01   8.5124561E+02   1.0530927E+05   6.9592975E-02   2.5000000E+01   1.0537744E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1072577E-02   6.1072577E-02
     1.2000000E+01   8.5124432E+02   1.0209895E+05   6.8313137E-02   2.5000000E+01   1.0216734E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1260801E-02   6.1260801E-02
     1.3000000E+01   8.5124316E+02   9.9144766E+04   6.7144737E-02   2.5000000E+01   9.9213391E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1482083E-02   6.1482083E-02
     1.4000000E+01   8.5124207E+02   9.6428789E+04   6.6012613E-02   2.5000000E+01   9.6497688E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1723210E-02   6.1723210E-02
