 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.2825372E+02   6.5675094E+04   2.6076204E-01   2.5000000E+01   6.5683992E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1550074E-01   1.1550074E-01
     2.0000000E+00   8.2825208E+02   6.4975152E+04   2.5910497E-01   2.5000000E+01   6.4989230E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.8265817E-01   1.8265817E-01
     3.0000000E+00   8.2824805E+02   6.3284707E+04   2.5504577E-01   2.5000000E+01   6.3301789E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.2158621E-01   2.2158621E-01
     4.0000000E+00   8.2824408E+02   6.1660574E+04   2.5110370E-01   2.5000000E+01   6.1679488E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4538104E-01   2.4538104E-01
     5.0000000E+00   8.2824066E+02   6.0267855E+04   2.4768905E-01   2.5000000E+01   6.0287918E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.6028597E-01   2.6028597E-01
     6.0000000E+00   8.2823779E+02   5.9098645E+04   2.4479738E-01   2.5000000E+01   5.9119430E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.6963711E-01   2.6963711E-01
     7.0000000E+00   8.2823553E+02   5.8154871E+04   2.4256773E-01   2.5000000E+01   5.8176113E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7552754E-01   2.7552754E-01
     8.0000000E+00   8.2823334E+02   5.7318754E+04   2.4035019E-01   2.5000000E+01   5.7340234E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7861974E-01   2.7861974E-01
     9.0000000E+00   8.2823157E+02   5.6607832E+04   2.3855788E-01   2.5000000E+01   5.6629426E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.8008616E-01   2.8008616E-01
     1.0000000E+01   8.2823004E+02   5.6011375E+04   2.3704709E-01   2.5000000E+01   5.6032980E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.8030118E-01   2.8030118E-01
     1.1000000E+01   8.2822943E+02   5.5766203E+04   2.3642287E-01   2.5000000E+01   5.5787797E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.8011158E-01   2.8011158E-01
     1.2000000E+01   8.2822919E+02   5.5677672E+04   2.3619437E-01   2.5000000E+01   5.5699199E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7929068E-01   2.7929068E-01
     1.3000000E+01   8.2822931E+02   5.5735023E+04   2.3634644E-01   2.5000000E+01   5.5756453E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7801791E-01   2.7801791E-01
     1.4000000E+01   8.2822913E+02   5.5664543E+04   2.3616003E-01   2.5000000E+01   5.5685805E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7583861E-01   2.7583861E-01
     1.5000000E+01   8.2822894E+02   5.5867160E+04   2.3597650E-01   2.5000000E+01   5.5888223E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7322307E-01   2.7322307E-01
     1.6000000E+01   8.2823480E+02   5.7951008E+04   2.4179786E-01   2.5000000E+01   5.7972219E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7518305E-01   2.7518305E-01
     1.7000000E+01   8.2824188E+02   6.1354309E+04   2.4891935E-01   2.5000000E+01   6.1375684E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7727166E-01   2.7727166E-01
     1.8000000E+01   8.2824744E+02   6.3507078E+04   2.5443864E-01   2.5000000E+01   6.3528453E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7727330E-01   2.7727330E-01
     1.9000000E+01   8.2824963E+02   6.3955816E+04   2.5666347E-01   2.5000000E+01   6.3976953E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7422071E-01   2.7422071E-01
     2.0000000E+01   8.2825049E+02   6.4379539E+04   2.5749123E-01   2.5000000E+01   6.4400363E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.7012211E-01   2.7012211E-01
     2.1000000E+01   8.2825049E+02   6.4136910E+04   2.5752100E-01   2.5000000E+01   6.4157383E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.6554167E-01   2.6554167E-01
     2.2000000E+01   8.2825146E+02   6.4969562E+04   2.5850490E-01   2.5000000E+01   6.4989754E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.6193586E-01   2.6193586E-01
     2.3000000E+01   8.2825293E+02   6.5461941E+04   2.5995448E-01   2.5000000E+01   6.5481883E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.5871074E-01   2.5871074E-01
     2.4000000E+01   8.2825342E+02   6.5520801E+04   2.6045105E-01   2.5000000E+01   6.5540430E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.5465393E-01   2.5465393E-01
     2.5000000E+01   8.2825470E+02   6.6284211E+04   2.6170683E-01   2.5000000E+01   6.6303578E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.5129393E-01   2.5129393E-01
     2.6000000E+01   8.2825677E+02   6.7143945E+04   2.6381898E-01   2.5000000E+01   6.7163109E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4860506E-01   2.4860506E-01
     2.7000000E+01   8.2825818E+02   6.7625312E+04   2.6517469E-01   2.5000000E+01   6.7644219E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4519554E-01   2.4519554E-01
     2.8000000E+01   8.2826093E+02   6.8880461E+04   2.6794669E-01   2.5000000E+01   6.8899188E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4297549E-01   2.4297549E-01
     2.9000000E+01   8.2826556E+02   7.0704016E+04   2.7257329E-01   2.5000000E+01   7.0722688E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4214852E-01   2.4214852E-01
     3.0000000E+01   8.2826837E+02   7.1921586E+04   2.7537176E-01   2.5000000E+01   7.1940055E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.3955619E-01   2.3955619E-01
     3.1000000E+01   8.2826892E+02   7.2113398E+04   2.7590957E-01   2.5000000E+01   7.2131531E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.3515634E-01   2.3515634E-01
     3.2000000E+01   8.2830078E+02   8.6844055E+04   3.0782160E-01   2.5000000E+01   8.6863500E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.5231892E-01   2.5231892E-01
     3.3000000E+01   8.2831757E+02   9.4581328E+04   3.2455957E-01   2.5000000E+01   9.4600820E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.5287253E-01   2.5287253E-01
     3.4000000E+01   8.2833032E+02   1.0085959E+05   3.3732578E-01   2.5000000E+01   1.0087884E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4970926E-01   2.4970926E-01
     3.5000000E+01   8.2833728E+02   1.0450462E+05   3.4432849E-01   2.5000000E+01   1.0452329E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.4213432E-01   2.4213432E-01
     3.6000000E+01   8.2834546E+02   1.0888234E+05   3.5246715E-01   2.5000000E+01   1.0890056E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.3642948E-01   2.3642948E-01
     3.7000000E+01   8.2834827E+02   1.0995577E+05   3.5525656E-01   2.5000000E+01   1.0997326E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.2691512E-01   2.2691512E-01
     3.8000000E+01   8.2835376E+02   1.1351984E+05   3.6078152E-01   2.5000000E+01   1.1353685E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.2070421E-01   2.2070421E-01
     3.9000000E+01   8.2835889E+02   1.1550420E+05   3.6590183E-01   2.5000000E+01   1.1552074E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.1464580E-01   2.1464580E-01
     4.0000000E+01   8.2836102E+02   1.1661977E+05   3.6801535E-01   2.5000000E+01   1.1663569E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   2.0659301E-01   2.0659301E-01
     4.1000000E+01   8.2836230E+02   1.1738353E+05   3.6932424E-01   2.5000000E+01   1.1739884E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.9861694E-01   1.9861694E-01
     4.2000000E+01   8.2836212E+02   1.1718168E+05   3.6914307E-01   2.5000000E+01   1.1719634E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.9005327E-01   1.9005327E-01
     4.3000000E+01   8.2836414E+02   1.1827985E+05   3.7114143E-01   2.5000000E+01   1.1829404E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.8398915E-01   1.8398915E-01
     4.4000000E+01   8.2836621E+02   1.1961873E+05   3.7321815E-01   2.5000000E+01   1.1963247E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.7827238E-01   1.7827238E-01
     4.5000000E+01   8.2836871E+02   1.2095988E+05   3.7573025E-01   2.5000000E+01   1.2097323E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.7317748E-01   1.7317748E-01
     4.6000000E+01   8.2837158E+02   1.2226744E+05   3.7860128E-01   2.5000000E+01   1.2228044E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.6858256E-01   1.6858256E-01
     4.7000000E+01   8.2838202E+02   1.2768699E+05   3.8902837E-01   2.5000000E+01   1.2770012E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.7034781E-01   1.7034781E-01
     4.8000000E+01   8.2838763E+02   1.3158742E+05   3.9467022E-01   2.5000000E+01   1.3160033E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.6754223E-01   1.6754223E-01
     4.9000000E+01   8.2838757E+02   1.3097888E+05   3.9457062E-01   2.5000000E+01   1.3099123E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.6019395E-01   1.6019395E-01
     5.0000000E+01   8.2838525E+02   1.2971011E+05   3.9227635E-01   2.5000000E+01   1.2972181E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.5179886E-01   1.5179886E-01
     5.1000000E+01   8.2838403E+02   1.2887970E+05   3.9105853E-01   2.5000000E+01   1.2889088E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.4509764E-01   1.4509764E-01
     5.2000000E+01   8.2837531E+02   1.2412124E+05   3.8230374E-01   2.5000000E+01   1.2413146E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.3257320E-01   1.3257320E-01
     5.3000000E+01   8.2837109E+02   1.2158048E+05   3.7812871E-01   2.5000000E+01   1.2159011E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.2495343E-01   1.2495343E-01
     5.4000000E+01   8.2837170E+02   1.2263471E+05   3.7872756E-01   2.5000000E+01   1.2264409E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.2178607E-01   1.2178607E-01
     5.5000000E+01   8.2837360E+02   1.2355609E+05   3.8059193E-01   2.5000000E+01   1.2356528E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1930113E-01   1.1930113E-01
     5.6000000E+01   8.2837726E+02   1.2533964E+05   3.8426381E-01   2.5000000E+01   1.2534873E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1802487E-01   1.1802487E-01
     5.7000000E+01   8.2837811E+02   1.2583591E+05   3.8514927E-01   2.5000000E+01   1.2584471E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1414748E-01   1.1414748E-01
     5.8000000E+01   8.2838135E+02   1.2770802E+05   3.8834974E-01   2.5000000E+01   1.2771667E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1231266E-01   1.1231266E-01
     5.9000000E+01   8.2838531E+02   1.2976564E+05   3.9235714E-01   2.5000000E+01   1.2977420E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.1100931E-01   1.1100931E-01
     6.0000000E+01   8.2838635E+02   1.3034478E+05   3.9337987E-01   2.5000000E+01   1.3035304E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.0712468E-01   1.0712468E-01
     6.1000000E+01   8.2838397E+02   1.2902646E+05   3.9101431E-01   2.5000000E+01   1.2903423E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   1.0072185E-01   1.0072185E-01
     6.2000000E+01   8.2838300E+02   1.2846676E+05   3.9002371E-01   2.5000000E+01   1.2847416E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   9.5980667E-02   9.5980667E-02
     6.3000000E+01   8.2838403E+02   1.2910116E+05   3.9102226E-01   2.5000000E+01   1.2910835E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   9.3167275E-02   9.3167275E-02
     6.4000000E+01   8.2838293E+02   1.2838952E+05   3.8995498E-01   2.5000000E+01   1.2839634E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   8.8547610E-02   8.8547610E-02
     6.5000000E+01   8.2838116E+02   1.2747458E+05   3.8818258E-01   2.5000000E+01   1.2748102E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   8.3677843E-02   8.3677843E-02
     6.6000000E+01   8.2837811E+02   1.2566038E+05   3.8512316E-01   2.5000000E+01   1.2566638E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   7.7877320E-02   7.7877320E-02
     6.7000000E+01   8.2837720E+02   1.2528529E+05   3.8418746E-01   2.5000000E+01   1.2529102E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   7.4289016E-02   7.4289016E-02
     6.8000000E+01   8.2837683E+02   1.2511955E+05   3.8386843E-01   2.5000000E+01   1.2512505E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   7.1222216E-02   7.1222216E-02
     6.9000000E+01   8.2837671E+02   1.2503904E+05   3.8371763E-01   2.5000000E+01   1.2504430E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.5417761E+02   6.8256848E-02   6.8256848E-02
