 "GAGE No.    1:  K,I,J Coord. =     1,   61,   10;  STREAM SEGMENT =    30;  REACH =    29 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.0565314E+02   1.4447258E+05   1.4614461E-01   2.5000000E+01   1.4440395E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -7.4950442E-02  -7.4950442E-02
     2.0000000E+00   8.0566119E+02   1.5792747E+05   1.5415935E-01   2.5000000E+01   1.5784070E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -9.4776034E-02  -9.4776034E-02
     3.0000000E+00   8.0566492E+02   1.6436702E+05   1.5789700E-01   2.5000000E+01   1.6427220E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.0356393E-01  -1.0356393E-01
     4.0000000E+00   8.0566669E+02   1.6746383E+05   1.5967405E-01   2.5000000E+01   1.6736489E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.0806954E-01  -1.0806954E-01
     5.0000000E+00   8.0566754E+02   1.6891831E+05   1.6050377E-01   2.5000000E+01   1.6881695E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1070581E-01  -1.1070581E-01
     6.0000000E+00   8.0566797E+02   1.6970466E+05   1.6095102E-01   2.5000000E+01   1.6960177E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1237857E-01  -1.1237857E-01
     7.0000000E+00   8.0566815E+02   1.6998747E+05   1.6114460E-01   2.5000000E+01   1.6988348E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1356032E-01  -1.1356032E-01
     8.0000000E+00   8.0566809E+02   1.6993023E+05   1.6107833E-01   2.5000000E+01   1.6982541E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1448077E-01  -1.1448077E-01
     9.0000000E+00   8.0566791E+02   1.6963536E+05   1.6091006E-01   2.5000000E+01   1.6952989E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1518100E-01  -1.1518100E-01
     1.0000000E+01   8.0566791E+02   1.6959164E+05   1.6088495E-01   2.5000000E+01   1.6948575E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1565106E-01  -1.1565106E-01
     1.1000000E+01   8.0566791E+02   1.6961161E+05   1.6090767E-01   2.5000000E+01   1.6950538E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1603732E-01  -1.1603732E-01
     1.2000000E+01   8.0566785E+02   1.6949920E+05   1.6083309E-01   2.5000000E+01   1.6939262E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1639319E-01  -1.1639319E-01
     1.3000000E+01   8.0566785E+02   1.6953227E+05   1.6085120E-01   2.5000000E+01   1.6942548E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1663531E-01  -1.1663531E-01
