Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
               16194     1     1   511043.131600  4588249.262000  855.3237    0.3048 -999.000     -999.000     -999.000     -999.000     -999.000    
               16194     1     2   511043.131600  4588249.262000  855.3237    6.0960  0.00000      1.00000      0.00000      0.00000      0.00000    
               16194     1     3   511043.131600  4588249.262000  855.3237   12.4968  0.00000      1.00000      0.00000      0.00000      0.00000    
               16194     1     4   511043.131600  4588249.262000  855.3237   18.5928  0.00000      0.00000      0.00000      1.00000      0.00000    
               16197     2     1   507780.370370  4596469.980120  860.8558    9.1440  0.00000      1.00000      0.00000      0.00000      0.00000    
               16197     2     2   507780.370370  4596469.980120  860.8558   10.6680  0.00000      0.00000      0.00000      1.00000      0.00000    
               16197     2     3   507780.370370  4596469.980120  860.8558   12.1920  0.00000      1.00000      0.00000      0.00000      0.00000    
               16197     2     4   507780.370370  4596469.980120  860.8558   12.8016  0.00000      0.00000      0.00000      1.00000      0.00000    
               16197     2     5   507780.370370  4596469.980120  860.8558   20.4216  0.00000      1.00000      0.00000      0.00000      0.00000    
               16197     2     6   507780.370370  4596469.980120  860.8558   22.8600  0.00000      1.00000      0.00000      0.00000      0.00000    
               16197     2     7   507780.370370  4596469.980120  860.8558   25.9080  0.00000      0.00000      0.00000      1.00000      0.00000    
               16197     2     8   507780.370370  4596469.980120  860.8558   31.3944  0.00000      0.00000      0.00000      1.00000      0.00000    
               16208     3     1   506173.729010  4601319.443510  866.8451    3.0480  0.00000      1.00000      0.00000      0.00000      0.00000    
               16208     3     2   506173.729010  4601319.443510  866.8451   15.2400  0.00000      1.00000      0.00000      0.00000      0.00000    
               16208     3     3   506173.729010  4601319.443510  866.8451   24.3840  0.00000      0.00000      0.00000      1.00000      0.00000    
               16208     3     4   506173.729010  4601319.443510  866.8451   32.0040  0.00000      0.00000      0.00000      1.00000      0.00000    
               16209     4     1   507780.380370  4596469.990120  860.8558    6.0960  0.00000      1.00000      0.00000      0.00000      0.00000    
               16209     4     2   507780.380370  4596469.990120  860.8558   10.6680  0.00000      1.00000      0.00000      0.00000      0.00000    
               16209     4     3   507780.380370  4596469.990120  860.8558   16.7640  0.00000      0.00000      0.00000      1.00000      0.00000    
               16209     4     4   507780.380370  4596469.990120  860.8558   22.8600  0.00000      0.00000      0.00000      1.00000      0.00000    
               16209     4     5   507780.380370  4596469.990120  860.8558   24.3840  0.00000      0.00000      0.00000      1.00000      0.00000    
               16225     5     1   511043.141600  4588249.272000  855.3237    2.1336  0.00000      1.00000      0.00000      0.00000      0.00000    
               16225     5     2   511043.141600  4588249.272000  855.3237    6.4008  0.00000      0.00000      1.00000      0.00000      0.00000    
               16225     5     3   511043.141600  4588249.272000  855.3237   24.0792  0.00000      1.00000      0.00000      0.00000      0.00000    
               16225     5     4   511043.141600  4588249.272000  855.3237   38.1000  0.00000      0.00000      0.00000      1.00000      0.00000    
               16225     5     5   511043.141600  4588249.272000  855.3237   45.7200  0.00000      0.00000      0.00000      1.00000      0.00000    
               16245     6     1   518711.982170  4593045.132660  974.9180    1.2192  0.00000      1.00000      0.00000      0.00000      0.00000    
               16245     6     2   518711.982170  4593045.132660  974.9180    4.8768  0.00000      0.00000      0.00000      1.00000      0.00000    
               16245     6     3   518711.982170  4593045.132660  974.9180    9.7536  0.00000      1.00000      0.00000      0.00000      0.00000    
               16245     6     4   518711.982170  4593045.132660  974.9180   11.5824  0.00000      1.00000      0.00000      0.00000      0.00000    
               16245     6     5   518711.982170  4593045.132660  974.9180   14.9352  0.00000      1.00000      0.00000      0.00000      0.00000    
               16245     6     6   518711.982170  4593045.132660  974.9180   15.5448  0.00000      0.00000      0.00000      1.00000      0.00000    
               16245     6     7   518711.982170  4593045.132660  974.9180   42.6720  1.00000      0.00000      0.00000      0.00000      0.00000    
               16246     7     1   506603.579710  4596266.697770  881.1097    7.3152  0.00000      0.00000      0.00000      1.00000      0.00000    
               16246     7     2   506603.579710  4596266.697770  881.1097   16.7640  0.00000      1.00000      0.00000      0.00000      0.00000    
               16246     7     3   506603.579710  4596266.697770  881.1097   56.9976  0.00000      0.00000      0.00000      1.00000      0.00000    
               16246     7     4   506603.579710  4596266.697770  881.1097   73.1520  1.00000      0.00000      0.00000      0.00000      0.00000    
               16252     8     1   517079.201170  4593100.350640  959.0745    9.1440  0.00000      1.00000      0.00000      0.00000      0.00000    
               16252     8     2   517079.201170  4593100.350640  959.0745   21.3360  0.00000      0.00000      0.00000      1.00000      0.00000    
               16252     8     3   517079.201170  4593100.350640  959.0745   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16252     8     4   517079.201170  4593100.350640  959.0745   38.1000  0.00000      0.00000      0.00000      1.00000      0.00000    
               16252     8     5   517079.201170  4593100.350640  959.0745   41.1480  0.00000      0.00000      0.00000      1.00000      0.00000    
               16252     8     6   517079.201170  4593100.350640  959.0745   47.5488  0.00000      0.00000      0.00000      1.00000      0.00000    
               16255     9     1   507786.219680  4606169.231510  833.5091    1.5240  0.00000      1.00000      0.00000      0.00000      0.00000    
               16255     9     2   507786.219680  4606169.231510  833.5091    9.1440  0.00000      1.00000      0.00000      0.00000      0.00000    
               16255     9     3   507786.219680  4606169.231510  833.5091   12.1920  0.00000      0.00000      0.00000      1.00000      0.00000    
               16255     9     4   507786.219680  4606169.231510  833.5091   21.3360  0.00000      1.00000      0.00000      0.00000      0.00000    
               16255     9     5   507786.219680  4606169.231510  833.5091   25.9080  0.00000      1.00000      0.00000      0.00000      0.00000    
               16255     9     6   507786.219680  4606169.231510  833.5091   28.9560  0.00000      1.00000      0.00000      0.00000      0.00000    
