Well,Row,Column,X,Y,Layer1
1,271,111,511043.1316,4588249.262,.00000
2,189,79,507780.3704,4596469.980,.00000
3,141,62,506173.7290,4601319.444,.00000
4,189,79,507780.3804,4596469.990,.00000
5,271,111,511043.1416,4588249.272,.00000
6,223,188,518711.9822,4593045.133,.00000
7,191,67,506603.5797,4596266.698,.624500E-01
8,227,172,517079.2012,4593100.351,.00000
9,92,79,507786.2197,4606169.232,.00000
10,110,115,511061.4459,4604561.252,.00000
11,255,128,512681.4956,4589913.288,.00000
12,140,14,501315.9039,4601331.649,.00000
13,189,65,506190.8384,4596422.715,.00000
14,189,127,512663.8583,4596487.544,.00000
15,65,111,511047.9162,4609387.513,.00000
16,59,62,506104.3304,4609457.678,.00000
17,279,78,507765.5838,4587471.496,.00000
18,157,79,507796.8524,4599696.729,.00000
19,76,14,501320.4953,4607767.377,.00000
20,255,95,509466.0075,4589882.737,.00000
21,287,111,511019.3046,4586644.780,.562299E-01
22,189,65,506190.8484,4596422.725,.191017
23,108,127,512668.8830,4604557.280,.00000
24,76,14,501320.5053,4607767.387,.00000
25,271,111,511043.1616,4588249.292,.00000
26,273,80,507850.1988,4588205.480,.00000
27,319,143,514275.5445,4583456.077,.00000
28,137,76,507795.0880,4601327.986,.00000
29,189,95,509392.9913,4596482.508,.00000
30,255,95,509466.0175,4589882.747,.00000
31,336,111,511058.3080,4581786.032,.00000
32,189,79,507780.4004,4596470.010,.00000
33,205,142,514275.1042,4594848.054,.00000
34,205,142,514275.1142,4594848.064,.00000
35,173,47,504589.0123,4598046.937,.00000
36,159,48,504585.0134,4599662.684,.00000
37,173,47,504589.0223,4598046.947,.00000
38,238,143,514275.2731,4591578.334,.00000
39,189,79,507780.4304,4596470.040,.00000
40,320,111,511038.6084,4583420.267,.00000
41,273,80,507850.2088,4588205.490,.00000
42,304,111,511034.8222,4585044.022,.200000
43,206,63,506188.1468,4594798.965,.00000
44,303,127,512655.3679,4585067.546,.00000
45,28,141,514208.4110,4612563.293,.00000
46,267,93,509435.1900,4588223.502,.00000
47,273,80,507850.2288,4588205.510,.00000
48,141,158,515908.5877,4601246.085,.600000
49,336,111,511058.3180,4581786.042,.00000
50,123,67,506672.8029,4603144.464,.00000
51,211,155,515661.4734,4594778.333,.00000
52,189,65,506190.8684,4596422.745,.00000
53,222,127,512671.2318,4593205.544,.00000
54,222,111,511060.8941,4593190.521,.00000
55,304,158,515652.1747,4585068.344,.00000
56,222,111,511060.9041,4593190.531,.00000
57,254,82,507864.5193,4589870.222,.00000
58,254,82,507864.5293,4589870.232,.00000
59,189,65,506190.8984,4596422.775,.00000
60,287,111,511019.3146,4586644.790,.00000
61,189,79,507780.4704,4596470.080,.00000
62,238,143,514275.2831,4591578.344,.00000
63,59,62,506104.3404,4609457.688,.00000
64,189,79,507780.5204,4596470.130,.00000
65,304,158,515652.1847,4585068.354,.00000
66,173,63,506202.9179,4598063.455,.00000
67,187,69,506779.2346,4596695.286,.00000
68,138,49,504573.0380,4601299.407,.200000E-01
69,319,143,514275.5545,4583456.087,.00000
70,238,143,514275.3031,4591578.364,.00000
71,287,111,511019.3346,4586644.810,.00000
72,273,80,507850.2588,4588205.540,.00000
73,222,111,511060.9241,4593190.551,.00000
74,189,65,506190.9384,4596422.815,.00000
75,273,80,507850.2988,4588205.580,.136364
76,271,111,511043.1916,4588249.322,.00000
77,108,30,502908.5254,4604602.913,.00000
78,140,111,511057.6702,4601344.257,.00000
79,211,155,515661.4834,4594778.343,.00000
80,73,30,502904.1818,4608087.727,.00000
81,238,143,514275.3331,4591578.394,.00000
82,224,157,515664.0719,4593170.580,-999.000
83,189,95,509393.0013,4596482.518,.00000
84,304,111,511034.8322,4585044.032,.00000
85,211,155,515661.5034,4594778.363,.00000
86,255,95,509466.0375,4589882.767,.00000
87,222,145,514272.2757,4593210.308,.00000
88,267,93,509435.2000,4588223.512,.00000
89,271,111,511043.2316,4588249.362,.00000
90,238,95,509446.9776,4591555.243,.00000
91,206,79,507787.2891,4594818.725,.00000
92,189,65,506190.9884,4596422.865,.00000
93,189,79,507780.5804,4596470.190,.00000
94,238,143,514275.3731,4591578.434,.00000
95,205,95,509415.1286,4594832.485,.00000
96,304,111,511034.8522,4585044.052,.00000
97,189,65,506191.0484,4596422.925,.00000
98,189,65,506191.1184,4596422.995,.00000
99,224,157,515664.0819,4593170.590,.00000
100,238,143,514275.4231,4591578.484,.00000
101,273,80,507850.3488,4588205.630,.00000
102,43,141,514225.9018,4611063.557,.00000
103,60,93,509398.5002,4609402.478,.00000
104,173,111,511036.0281,4598087.774,.00000
105,255,95,509466.0675,4589882.797,.365079
106,189,65,506191.1984,4596423.075,.00000
107,67,155,515623.0168,4608982.079,.00000
108,273,80,507850.4088,4588205.690,.00000
109,189,79,507780.6504,4596470.260,.00000
110,273,80,507850.4788,4588205.760,.00000
111,92,14,501309.2202,4606178.881,.00000
112,287,127,512651.8962,4586676.041,.00000
113,336,111,511058.3380,4581786.062,.00000
114,189,65,506191.2884,4596423.165,.00000
115,222,79,507812.9000,4593151.981,.00000
116,320,111,510904.5361,4583391.643,.00000
117,124,111,511057.9273,4602954.523,.00000
118,319,143,514275.5745,4583456.107,.00000
119,161,155,515671.5809,4599542.073,.00000
120,267,93,509435.2200,4588223.532,.00000
