Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
16194	1	1	511043.13160	4588249.26200	855.32366	0.30480	-999	-999	-999	-999	-999
16194	1	2	511043.13160	4588249.26200	855.32366	6.09600	0.00000	1.00000	0.00000	0.00000	0.00000
16194	1	3	511043.13160	4588249.26200	855.32366	12.49680	0.00000	1.00000	0.00000	0.00000	0.00000
16194	1	4	511043.13160	4588249.26200	855.32366	18.59280	0.00000	0.00000	0.00000	0.00000	1.00000
16197	2	1	507780.37037	4596469.98012	860.85578	9.14400	0.00000	1.00000	0.00000	0.00000	0.00000
16197	2	2	507780.37037	4596469.98012	860.85578	10.66800	0.00000	0.00000	0.00000	0.00000	1.00000
16197	2	3	507780.37037	4596469.98012	860.85578	12.19200	0.00000	1.00000	0.00000	0.00000	0.00000
16197	2	4	507780.37037	4596469.98012	860.85578	12.80160	0.00000	0.00000	0.00000	1.00000	0.00000
16197	2	5	507780.37037	4596469.98012	860.85578	20.42160	0.00000	1.00000	0.00000	0.00000	0.00000
16197	2	6	507780.37037	4596469.98012	860.85578	22.86000	0.00000	1.00000	0.00000	0.00000	0.00000
16197	2	7	507780.37037	4596469.98012	860.85578	25.90800	0.00000	0.00000	0.00000	1.00000	0.00000
16197	2	8	507780.37037	4596469.98012	860.85578	31.39440	0.00000	0.00000	0.00000	1.00000	0.00000
16208	3	1	506173.72901	4601319.44351	866.84510	3.04800	0.00000	1.00000	0.00000	0.00000	0.00000
16208	3	2	506173.72901	4601319.44351	866.84510	15.24000	0.00000	1.00000	0.00000	0.00000	0.00000
16208	3	3	506173.72901	4601319.44351	866.84510	24.38400	0.00000	0.00000	0.00000	0.00000	1.00000
16208	3	4	506173.72901	4601319.44351	866.84510	32.00400	0.00000	0.00000	0.00000	0.00000	1.00000
16209	4	1	507780.37037	4596469.98012	860.85578	6.09600	0.00000	1.00000	0.00000	0.00000	0.00000
16209	4	2	507780.37037	4596469.98012	860.85578	10.66800	0.00000	1.00000	0.00000	0.00000	0.00000
16209	4	3	507780.37037	4596469.98012	860.85578	16.76400	0.00000	0.00000	0.00000	1.00000	0.00000
16209	4	4	507780.37037	4596469.98012	860.85578	22.86000	0.00000	0.00000	0.00000	1.00000	0.00000
16209	4	5	507780.37037	4596469.98012	860.85578	24.38400	0.00000	0.00000	0.00000	1.00000	0.00000
16225	5	1	511043.13160	4588249.26200	855.32366	2.13360	0.00000	1.00000	0.00000	0.00000	0.00000
16225	5	2	511043.13160	4588249.26200	855.32366	6.40080	0.00000	0.00000	1.00000	0.00000	0.00000
16225	5	3	511043.13160	4588249.26200	855.32366	24.07920	0.00000	1.00000	0.00000	0.00000	0.00000
16225	5	4	511043.13160	4588249.26200	855.32366	38.10000	0.00000	0.00000	0.00000	1.00000	0.00000
16225	5	5	511043.13160	4588249.26200	855.32366	45.72000	0.00000	0.00000	0.00000	1.00000	0.00000
16245	6	1	518711.98217	4593045.13266	974.91804	1.21920	0.00000	1.00000	0.00000	0.00000	0.00000
16245	6	2	518711.98217	4593045.13266	974.91804	4.87680	0.00000	0.00000	0.00000	1.00000	0.00000
16245	6	3	518711.98217	4593045.13266	974.91804	9.75360	0.00000	1.00000	0.00000	0.00000	0.00000
16245	6	4	518711.98217	4593045.13266	974.91804	11.58240	0.00000	1.00000	0.00000	0.00000	0.00000
16245	6	5	518711.98217	4593045.13266	974.91804	14.93520	0.00000	1.00000	0.00000	0.00000	0.00000
16245	6	6	518711.98217	4593045.13266	974.91804	15.54480	0.00000	0.00000	0.00000	0.00000	1.00000
16245	6	7	518711.98217	4593045.13266	974.91804	42.67200	1.00000	0.00000	0.00000	0.00000	0.00000
16246	7	1	506603.57971	4596266.69777	881.10974	7.31520	0.00000	0.00000	0.00000	1.00000	0.00000
16246	7	2	506603.57971	4596266.69777	881.10974	16.76400	0.00000	1.00000	0.00000	0.00000	0.00000
16246	7	3	506603.57971	4596266.69777	881.10974	56.99760	0.00000	0.00000	0.00000	1.00000	0.00000
16246	7	4	506603.57971	4596266.69777	881.10974	73.15200	1.00000	0.00000	0.00000	0.00000	0.00000
16252	8	1	517079.20117	4593100.35064	959.07454	9.14400	0.00000	1.00000	0.00000	0.00000	0.00000
16252	8	2	517079.20117	4593100.35064	959.07454	21.33600	0.00000	0.00000	0.00000	0.00000	1.00000
16252	8	3	517079.20117	4593100.35064	959.07454	27.43200	0.00000	0.00000	0.00000	0.00000	1.00000
16252	8	4	517079.20117	4593100.35064	959.07454	38.10000	0.00000	0.00000	0.00000	0.00000	1.00000
16252	8	5	517079.20117	4593100.35064	959.07454	41.14800	0.00000	0.00000	0.00000	0.00000	1.00000
16252	8	6	517079.20117	4593100.35064	959.07454	47.54880	0.00000	0.00000	0.00000	0.00000	1.00000
16255	9	1	507786.21968	4606169.23151	833.50913	1.52400	0.00000	1.00000	0.00000	0.00000	0.00000
16255	9	2	507786.21968	4606169.23151	833.50913	9.14400	0.00000	1.00000	0.00000	0.00000	0.00000
16255	9	3	507786.21968	4606169.23151	833.50913	12.19200	0.00000	0.00000	0.00000	1.00000	0.00000
16255	9	4	507786.21968	4606169.23151	833.50913	21.33600	0.00000	1.00000	0.00000	0.00000	0.00000
16255	9	5	507786.21968	4606169.23151	833.50913	25.90800	0.00000	1.00000	0.00000	0.00000	0.00000
16255	9	6	507786.21968	4606169.23151	833.50913	28.95600	0.00000	1.00000	0.00000	0.00000	0.00000
16255	9	7	507786.21968	4606169.23151	833.50913	35.05200	0.00000	0.00000	0.00000	1.00000	0.00000
16264	10	1	511061.44593	4604561.25176	965.14615	1.52400	0.00000	1.00000	0.00000	0.00000	0.00000
16264	10	2	511061.44593	4604561.25176	965.14615	3.04800	0.00000	1.00000	0.00000	0.00000	0.00000
16264	10	3	511061.44593	4604561.25176	965.14615	4.57200	0.00000	0.00000	0.00000	1.00000	0.00000
16264	10	4	511061.44593	4604561.25176	965.14615	12.19200	0.00000	1.00000	0.00000	0.00000	0.00000
16264	10	5	511061.44593	4604561.25176	965.14615	12.80160	0.00000	0.00000	0.00000	1.00000	0.00000
16264	10	6	511061.44593	4604561.25176	965.14615	15.24000	0.00000	1.00000	0.00000	0.00000	0.00000
16264	10	7	511061.44593	4604561.25176	965.14615	22.86000	0.00000	1.00000	0.00000	0.00000	0.00000
16273	11	1	512681.49560	4589913.28800	847.92312	2.43840	0.00000	0.00000	1.00000	0.00000	0.00000
16273	11	2	512681.49560	4589913.28800	847.92312	42.67200	0.00000	0.00000	0.00000	0.00000	1.00000
16273	11	3	512681.49560	4589913.28800	847.92312	73.15200	0.00000	0.00000	0.00000	1.00000	0.00000
16277	12	1	501315.90390	4601331.64903	937.22647	1.82880	0.00000	1.00000	0.00000	0.00000	0.00000
16277	12	2	501315.90390	4601331.64903	937.22647	7.62000	0.00000	1.00000	0.00000	0.00000	0.00000
16277	12	3	501315.90390	4601331.64903	937.22647	15.24000	0.00000	1.00000	0.00000	0.00000	0.00000
16277	12	4	501315.90390	4601331.64903	937.22647	18.59280	0.00000	0.00000	0.00000	1.00000	0.00000
16277	12	5	501315.90390	4601331.64903	937.22647	24.07920	0.00000	0.00000	0.00000	1.00000	0.00000
16277	12	6	501315.90390	4601331.64903	937.22647	25.29840	0.00000	0.00000	0.00000	1.00000	0.00000
16277	12	7	501315.90390	4601331.64903	937.22647	29.26080	0.00000	0.00000	0.00000	1.00000	0.00000
16277	12	8	501315.90390	4601331.64903	937.22647	30.48000	0.00000	0.00000	0.00000	1.00000	0.00000
16298	13	1	506190.83840	4596422.71513	927.22903	6.09600	0.00000	0.00000	0.00000	0.00000	1.00000
16298	13	2	506190.83840	4596422.71513	927.22903	27.43200	0.00000	0.00000	0.00000	1.00000	0.00000
16298	13	3	506190.83840	4596422.71513	927.22903	30.48000	0.00000	0.00000	0.00000	0.00000	1.00000
16298	13	4	506190.83840	4596422.71513	927.22903	45.72000	0.00000	0.00000	0.00000	0.00000	1.00000
16298	13	5	506190.83840	4596422.71513	927.22903	51.20640	0.00000	0.00000	0.00000	0.00000	1.00000
16311	14	1	512663.85832	4596487.54391	837.39533	18.59280	0.00000	0.00000	0.00000	0.00000	1.00000
16311	14	2	512663.85832	4596487.54391	837.39533	24.68880	0.00000	0.00000	0.00000	0.00000	1.00000
16337	15	1	511047.91620	4609387.51266	967.38948	3.04800	0.00000	1.00000	0.00000	0.00000	0.00000
16337	15	2	511047.91620	4609387.51266	967.38948	10.66800	0.00000	1.00000	0.00000	0.00000	0.00000
16337	15	3	511047.91620	4609387.51266	967.38948	19.81200	-999	-999	-999	-999	-999
16337	15	4	511047.91620	4609387.51266	967.38948	25.60320	0.00000	0.00000	0.00000	1.00000	0.00000
16337	15	5	511047.91620	4609387.51266	967.38948	27.12720	0.00000	1.00000	0.00000	0.00000	0.00000
16347	16	1	506104.33041	4609457.67751	822.55462	2.13360	0.00000	0.00000	0.00000	1.00000	0.00000
16347	16	2	506104.33041	4609457.67751	822.55462	5.18160	0.00000	0.00000	0.00000	1.00000	0.00000
16347	16	3	506104.33041	4609457.67751	822.55462	10.66800	0.00000	1.00000	0.00000	0.00000	0.00000
16347	16	4	506104.33041	4609457.67751	822.55462	18.28800	0.00000	1.00000	0.00000	0.00000	0.00000
16347	16	5	506104.33041	4609457.67751	822.55462	21.33600	0.00000	0.00000	0.00000	0.00000	1.00000
16347	16	6	506104.33041	4609457.67751	822.55462	24.38400	0.00000	0.00000	0.00000	1.00000	0.00000
16347	16	7	506104.33041	4609457.67751	822.55462	27.43200	0.00000	0.00000	0.00000	0.00000	1.00000
16347	16	8	506104.33041	4609457.67751	822.55462	32.91840	0.00000	0.00000	0.00000	1.00000	0.00000
16347	16	9	506104.33041	4609457.67751	822.55462	37.49040	0.00000	0.00000	0.00000	1.00000	0.00000
16351	17	1	507765.58385	4587471.49580	940.98466	1.52400	0.00000	1.00000	0.00000	0.00000	0.00000
16351	17	2	507765.58385	4587471.49580	940.98466	7.62000	0.00000	0.00000	0.00000	1.00000	0.00000
16351	17	3	507765.58385	4587471.49580	940.98466	10.66800	0.00000	0.00000	0.00000	1.00000	0.00000
16351	17	4	507765.58385	4587471.49580	940.98466	15.24000	0.00000	0.00000	0.00000	0.00000	1.00000
16351	17	5	507765.58385	4587471.49580	940.98466	19.81200	1.00000	0.00000	0.00000	0.00000	0.00000
16351	17	6	507765.58385	4587471.49580	940.98466	36.57600	1.00000	0.00000	0.00000	0.00000	0.00000
16356	18	1	507796.85241	4599696.72870	857.85350	15.84960	0.00000	1.00000	0.00000	0.00000	0.00000
