stream,model,period,RMSE,NSE,KGE,PBIAS,LNSE
FJ,prev,All,921876.1005839485,0.8152398129134273,0.7265359430277196,22.07463025532148,0.8929737197250733
FJ,calb,All,868349.4826644073,0.8360722866760312,0.7298893775573685,22.159045683201477,0.9405670764234568
FJ,prev,Low,61967.34447814475,0.26897499884854537,0.4616038066658089,29.186198241006004,0.4008061424448569
FJ,calb,Low,49978.48702567465,0.5244757505264226,0.7257297619493929,3.9684536035070104,0.6648056197346508
FJ,prev,Medium,294305.1247821345,0.7189023613156704,0.8012263599126671,11.95321133889124,0.3839678505323544
FJ,calb,Medium,261685.45037766456,0.7777607813184848,0.8310795042824697,14.206339850244285,0.7130500285528937
FJ,prev,High,2017431.469087505,0.6037475582074863,0.610717400129434,26.346550785072576,0.3885818147783744
FJ,calb,High,1905163.9606201174,0.6466223448739516,0.6374994114323016,26.59558569847541,0.44971687417367523
BY,prev,All,142409.02285331514,0.8617425699134627,0.8865378967268864,6.197052036030137,0.8412151330382568
BY,calb,All,136493.1731703806,0.8729907570003553,0.8837721036298426,0.21734579048966296,0.8891539213178442
AS,prev,All,727739.4981621616,0.6118588886484909,0.5978286931410046,22.26279890304696,0.18955863962848885
AS,calb,All,695209.0673470842,0.6457836474172527,0.6317719995279003,17.617368341582225,0.3418424072299361
